"","date","frequency","y","m","d","date2","dow"
"432","09072013",69,2013,7,9,2013-07-09,"Tuesday"
"433","09082010",11,2010,8,9,2010-08-09,"Monday"
"434","09082011",41,2011,8,9,2011-08-09,"Tuesday"
"435","09082012",67,2012,8,9,2012-08-09,"Thursday"
"436","09082013",50,2013,8,9,2013-08-09,"Friday"
"437","09092010",8,2010,9,9,2010-09-09,"Thursday"
"438","09092011",34,2011,9,9,2011-09-09,"Friday"
"439","09092012",76,2012,9,9,2012-09-09,"Sunday"
"440","09092013",76,2013,9,9,2013-09-09,"Monday"
"441","09102010",4,2010,10,9,2010-10-09,"Saturday"
"442","09102011",23,2011,10,9,2011-10-09,"Sunday"
"443","09102012",54,2012,10,9,2012-10-09,"Tuesday"
"444","09102013",64,2013,10,9,2013-10-09,"Wednesday"
"445","09112009",2,2009,11,9,2009-11-09,"Monday"
"446","09112010",12,2010,11,9,2010-11-09,"Tuesday"
"447","09112011",37,2011,11,9,2011-11-09,"Wednesday"
"448","09112012",74,2012,11,9,2012-11-09,"Friday"
"449","09112013",50,2013,11,9,2013-11-09,"Saturday"
"450","09122009",1,2009,12,9,2009-12-09,"Wednesday"
"451","09122010",22,2010,12,9,2010-12-09,"Thursday"
"452","09122011",54,2011,12,9,2011-12-09,"Friday"
"453","09122012",41,2012,12,9,2012-12-09,"Sunday"
"454","09122013",31,2013,12,9,2013-12-09,"Monday"
"455","10012011",32,2011,1,10,2011-01-10,"Monday"
"456","10012012",54,2012,1,10,2012-01-10,"Tuesday"
"457","10012013",59,2013,1,10,2013-01-10,"Thursday"
"458","10012014",45,2014,1,10,2014-01-10,"Friday"
"459","10022011",31,2011,2,10,2011-02-10,"Thursday"
"460","10022012",31,2012,2,10,2012-02-10,"Friday"
"461","10022013",49,2013,2,10,2013-02-10,"Sunday"
"462","10022014",46,2014,2,10,2014-02-10,"Monday"
"463","10032010",2,2010,3,10,2010-03-10,"Wednesday"
